account_id,customer_id,account_type,account_status,open_date
ACCT000132,CUST00244,Savings,Active,2021-07-23
ACCT000133,CUST00176,Credit Card,Active,2021-05-05
ACCT000134,CUST00102,Credit Card,Active,2021-09-08
ACCT000135,CUST00243,Loan,Active,2024-09-19
ACCT000136,CUST00055,Checking,Active,2025-05-31
ACCT000137,CUST00086,Savings,Active,2025-05-31
ACCT000138,CUST00145,Savings,Active,2025-08-27
ACCT000139,CUST00196,Savings,Active,2025-07-24
ACCT000140,CUST00223,Savings,Active,2025-05-05
ACCT000141,CUST00038,Checking,Active,2025-10-25
ACCT000142,CUST00038,Savings,Active,2025-06-24
ACCT000143,CUST00045,Checking,Active,2021-09-27
ACCT000144,CUST00004,Credit Card,Active,2024-04-20
ACCT000145,CUST00083,Checking,Active,2022-06-28
ACCT000146,CUST00014,Savings,Closed,2023-12-14
ACCT000147,CUST00030,Checking,Closed,2023-07-08
ACCT000148,CUST00200,Credit Card,Active,2023-07-15
ACCT000149,CUST00129,Savings,Active,2025-01-29
ACCT000150,CUST00201,Credit Card,Closed,2024-08-10
ACCT000151,CUST00247,Checking,Active,2023-09-08
ACCT000152,CUST00217,Loan,Closed,2024-11-06
ACCT000153,CUST00028,Loan,Closed,2021-05-31
ACCT000154,CUST00231,Checking,Active,2024-05-30
ACCT000155,CUST00038,Checking,Active,2022-07-18
ACCT000156,CUST00160,Credit Card,Closed,2024-05-08
ACCT000157,CUST00136,Credit Card,Closed,2023-11-02
ACCT000158,CUST00155,Loan,Active,2025-06-13
ACCT000159,CUST00180,Checking,Active,2023-05-31
ACCT000160,CUST00116,Savings,Closed,2022-11-26
ACCT000161,CUST00212,Loan,Closed,2023-05-02
ACCT000162,CUST00187,Checking,Active,2023-05-25
ACCT000163,CUST00081,Credit Card,Active,2021-11-09
ACCT000164,CUST00176,Loan,Active,2021-07-06
ACCT000165,CUST00213,Checking,Active,2023-06-04
ACCT000166,CUST00025,Credit Card,Active,2024-02-14
ACCT000167,CUST00016,Credit Card,Active,2023-04-22
ACCT000168,CUST00091,Loan,Active,2022-08-13
ACCT000169,CUST00154,Credit Card,Active,2021-08-01
ACCT000170,CUST00148,Savings,Active,2024-09-06
ACCT000171,CUST00124,Savings,Active,2022-12-19
ACCT000172,CUST00217,Credit Card,Active,2025-04-11
ACCT000173,CUST00072,Savings,Closed,2025-09-27
ACCT000174,CUST00144,Checking,Active,2021-03-01
ACCT000175,CUST00047,Credit Card,Active,2022-11-27
ACCT000176,CUST00090,Checking,Active,2025-11-17
ACCT000177,CUST00037,Loan,Active,2021-10-18
ACCT000178,CUST00190,Checking,Active,2025-03-09
ACCT000179,CUST00136,Savings,Closed,2023-05-10
ACCT000180,CUST00117,Credit Card,Active,2023-01-28
ACCT000181,CUST00080,Credit Card,Active,2025-12-15
ACCT000182,CUST00014,Savings,Active,2025-03-26
ACCT000183,CUST00159,Checking,Active,2022-07-12
ACCT000184,CUST00114,Loan,Closed,2024-05-28
ACCT000185,CUST00114,Loan,Active,2022-03-18
ACCT000186,CUST00194,Checking,Active,2023-05-31
ACCT000187,CUST00029,Credit Card,Closed,2023-12-16
ACCT000188,CUST00171,Credit Card,Active,2022-03-28
ACCT000189,CUST00102,Checking,Active,2022-02-23
ACCT000190,CUST00078,Savings,Active,2025-04-15
ACCT000191,CUST00066,Credit Card,Active,2021-09-03
ACCT000192,CUST00002,Loan,Closed,2021-12-26
ACCT000193,CUST00034,Loan,Active,2023-10-22
ACCT000194,CUST00144,Credit Card,Active,2023-03-25
ACCT000195,CUST00221,Checking,Closed,2021-02-08
ACCT000196,CUST00118,Checking,Active,2024-03-25
ACCT000197,CUST00110,Loan,Closed,2022-08-16
ACCT000198,CUST00030,Loan,Active,2022-10-28
ACCT000199,CUST00044,Loan,Active,2021-06-30
ACCT000200,CUST00112,Checking,Active,2023-06-12
ACCT000201,CUST00151,Loan,Active,2023-03-22
ACCT000202,CUST00223,Credit Card,Active,2022-03-30
ACCT000203,CUST00086,Savings,Active,2023-11-12
ACCT000204,CUST00163,Checking,Active,2025-05-09
ACCT000205,CUST00090,Credit Card,Active,2022-04-29
ACCT000206,CUST00027,Savings,Active,2022-02-09
ACCT000207,CUST00045,Savings,Active,2021-12-29
ACCT000208,CUST00244,Loan,Closed,2025-03-26
ACCT000209,CUST00145,Loan,Active,2025-11-05
ACCT000210,CUST00249,Credit Card,Active,2023-06-20
ACCT000211,CUST00018,Loan,Closed,2024-07-17
ACCT000212,CUST00078,Credit Card,Active,2022-12-22
ACCT000213,CUST00130,Checking,Active,2023-08-04
ACCT000214,CUST00116,Checking,Active,2023-01-26
ACCT000215,CUST00213,Credit Card,Active,2024-08-13
ACCT000216,CUST00222,Checking,Closed,2023-08-06
ACCT000217,CUST00149,Checking,Closed,2025-07-17
ACCT000218,CUST00147,Savings,Active,2024-05-24
ACCT000219,CUST00122,Savings,Active,2023-07-12
ACCT000220,CUST00027,Credit Card,Active,2023-10-31
ACCT000221,CUST00166,Savings,Active,2022-05-23
ACCT000222,CUST00182,Loan,Closed,2023-12-10
ACCT000223,CUST00134,Savings,Active,2023-02-03
ACCT000224,CUST00235,Credit Card,Closed,2023-04-18
ACCT000225,CUST00199,Credit Card,Active,2025-06-05
ACCT000226,CUST00162,Credit Card,Active,2022-11-07
ACCT000227,CUST00025,Loan,Active,2022-06-01
ACCT000228,CUST00186,Savings,Active,2021-06-16
ACCT000229,CUST00150,Savings,Active,2022-09-28
ACCT000230,CUST00248,Loan,Active,2024-05-03
ACCT000231,CUST00182,Checking,Active,2024-02-19
ACCT000232,CUST00097,Credit Card,Active,2024-10-04
ACCT000233,CUST00180,Checking,Closed,2023-11-08
ACCT000234,CUST00093,Checking,Active,2022-09-25
ACCT000235,CUST00047,Savings,Active,2025-04-19
ACCT000236,CUST00125,Savings,Active,2021-10-09
ACCT000237,CUST00040,Checking,Active,2025-09-26
ACCT000238,CUST00202,Checking,Active,2024-09-17
ACCT000239,CUST00087,Savings,Closed,2021-11-12
ACCT000240,CUST00042,Savings,Active,2025-01-16
ACCT000241,CUST00113,Checking,Closed,2023-01-17
ACCT000242,CUST00174,Savings,Closed,2024-06-04
ACCT000243,CUST00073,Loan,Active,2023-12-30
ACCT000244,CUST00062,Credit Card,Closed,2025-09-07
ACCT000245,CUST00050,Credit Card,Closed,2023-08-04
ACCT000246,CUST00197,Credit Card,Closed,2023-10-27
ACCT000247,CUST00136,Loan,Active,2025-07-31
ACCT000248,CUST00052,Savings,Active,2021-04-17
ACCT000249,CUST00165,Loan,Active,2024-02-10
ACCT000250,CUST00240,Checking,Active,2022-08-07
ACCT000251,CUST00022,Savings,Active,2023-07-10
ACCT000252,CUST00232,Savings,Closed,2021-07-07
ACCT000253,CUST00243,Savings,Closed,2025-12-17
ACCT000254,CUST00090,Checking,Closed,2021-04-20
ACCT000255,CUST00102,Credit Card,Active,2023-03-02
ACCT000256,CUST00021,Credit Card,Active,2021-02-27
ACCT000257,CUST00082,Checking,Active,2025-06-09
ACCT000258,CUST00038,Savings,Active,2022-08-11
ACCT000259,CUST00235,Loan,Active,2025-04-04
ACCT000260,CUST00181,Loan,Closed,2024-06-14
ACCT000261,CUST00002,Checking,Active,2022-06-09
ACCT000262,CUST00056,Savings,Closed,2021-08-16
ACCT000263,CUST00199,Credit Card,Active,2022-09-09
ACCT000264,CUST00032,Checking,Active,2023-05-10
ACCT000265,CUST00164,Loan,Active,2021-08-16
ACCT000266,CUST00215,Loan,Active,2024-07-18
ACCT000267,CUST00132,Savings,Active,2022-08-20
ACCT000268,CUST00110,Checking,Active,2022-05-08
ACCT000269,CUST00147,Loan,Active,2024-09-22
ACCT000270,CUST00172,Checking,Active,2021-05-19
ACCT000271,CUST00245,Checking,Closed,2025-11-24
ACCT000272,CUST00121,Checking,Closed,2023-02-04
ACCT000273,CUST00065,Checking,Active,2025-06-03
ACCT000274,CUST00018,Credit Card,Active,2025-02-10
ACCT000275,CUST00169,Checking,Active,2021-10-01
ACCT000276,CUST00012,Credit Card,Active,2025-07-25
ACCT000277,CUST00165,Savings,Closed,2024-11-25
ACCT000278,CUST00123,Savings,Active,2021-05-10
ACCT000279,CUST00184,Loan,Active,2022-08-24
ACCT000280,CUST00052,Checking,Active,2025-12-20
ACCT000281,CUST00011,Credit Card,Active,2023-11-22
ACCT000282,CUST00102,Loan,Active,2021-03-16
ACCT000283,CUST00193,Savings,Active,2023-01-02
ACCT000284,CUST00221,Checking,Active,2022-07-14
ACCT000285,CUST00032,Credit Card,Closed,2025-12-27
ACCT000286,CUST00103,Loan,Closed,2022-11-26
ACCT000287,CUST00250,Savings,Closed,2024-11-18
ACCT000288,CUST00128,Credit Card,Active,2025-06-29
ACCT000289,CUST00022,Loan,Active,2023-06-01
ACCT000290,CUST00155,Savings,Active,2022-10-20
ACCT000291,CUST00027,Checking,Active,2024-09-15
ACCT000292,CUST00076,Credit Card,Closed,2024-05-19
ACCT000293,CUST00184,Loan,Active,2024-11-13
ACCT000294,CUST00114,Credit Card,Closed,2021-03-28
ACCT000295,CUST00187,Credit Card,Closed,2022-07-17
ACCT000296,CUST00164,Checking,Active,2024-10-06
ACCT000297,CUST00164,Loan,Active,2023-11-17
ACCT000298,CUST00206,Savings,Active,2021-10-20
ACCT000299,CUST00218,Loan,Active,2021-09-16
ACCT000300,CUST00018,Savings,Active,2023-01-12
ACCT000301,CUST00099,Checking,Active,2024-10-22
ACCT000302,CUST00116,Credit Card,Active,2023-06-29
ACCT000303,CUST00196,Checking,Active,2023-12-21
ACCT000304,CUST00094,Loan,Active,2024-08-23
ACCT000305,CUST00072,Savings,Active,2021-02-23
ACCT000306,CUST00189,Savings,Closed,2023-11-27
ACCT000307,CUST00100,Checking,Active,2025-05-07
ACCT000308,CUST00067,Loan,Active,2024-06-07
ACCT000309,CUST00074,Loan,Active,2021-09-09
ACCT000310,CUST00035,Checking,Closed,2021-12-20
ACCT000311,CUST00231,Loan,Active,2025-07-18
ACCT000312,CUST00175,Credit Card,Active,2024-12-24
ACCT000313,CUST00017,Credit Card,Active,2025-10-10
ACCT000314,CUST00041,Savings,Active,2023-11-08
ACCT000315,CUST00058,Checking,Active,2025-06-11
ACCT000316,CUST00036,Savings,Closed,2021-02-23
ACCT000317,CUST00093,Credit Card,Closed,2025-07-04
ACCT000318,CUST00142,Savings,Active,2021-05-15
ACCT000319,CUST00080,Loan,Closed,2023-12-13
ACCT000320,CUST00106,Loan,Active,2021-09-14
ACCT000321,CUST00249,Credit Card,Active,2023-07-11
ACCT000322,CUST00120,Credit Card,Active,2025-12-04
ACCT000323,CUST00213,Savings,Active,2023-06-06
ACCT000324,CUST00129,Checking,Active,2023-11-28
ACCT000325,CUST00040,Credit Card,Active,2021-11-28
ACCT000326,CUST00083,Savings,Active,2023-11-29
ACCT000327,CUST00230,Credit Card,Active,2022-05-29
ACCT000328,CUST00051,Credit Card,Active,2024-07-04
ACCT000329,CUST00078,Checking,Active,2024-04-27
ACCT000330,CUST00242,Savings,Active,2024-09-11
ACCT000331,CUST00160,Credit Card,Active,2025-08-18
ACCT000332,CUST00222,Checking,Active,2021-04-04
ACCT000333,CUST00243,Credit Card,Active,2025-04-20
ACCT000334,CUST00147,Loan,Active,2023-10-17
ACCT000335,CUST00228,Credit Card,Active,2023-09-17
ACCT000336,CUST00063,Loan,Active,2023-07-18
ACCT000337,CUST00019,Checking,Active,2023-06-20
ACCT000338,CUST00107,Loan,Closed,2022-02-22
ACCT000339,CUST00088,Savings,Active,2025-10-31
ACCT000340,CUST00184,Credit Card,Active,2023-03-28
ACCT000341,CUST00034,Credit Card,Active,2022-10-16
ACCT000342,CUST00062,Loan,Active,2022-07-02
ACCT000343,CUST00116,Savings,Active,2021-07-18
ACCT000344,CUST00013,Credit Card,Closed,2025-11-05
ACCT000345,CUST00158,Loan,Active,2025-11-08
ACCT000346,CUST00231,Savings,Active,2024-03-29
ACCT000347,CUST00185,Credit Card,Active,2025-04-12
ACCT000348,CUST00041,Loan,Closed,2023-10-19
ACCT000349,CUST00226,Credit Card,Closed,2021-02-17
ACCT000350,CUST00024,Loan,Closed,2022-05-09
ACCT000351,CUST00056,Credit Card,Active,2021-04-14
ACCT000352,CUST00073,Loan,Closed,2022-08-09
ACCT000353,CUST00138,Checking,Active,2023-06-02
ACCT000354,CUST00035,Credit Card,Active,2025-04-14
ACCT000355,CUST00104,Credit Card,Active,2023-04-01
ACCT000356,CUST00014,Savings,Active,2024-02-08
ACCT000357,CUST00074,Checking,Closed,2023-10-30
ACCT000358,CUST00116,Credit Card,Active,2021-09-21
ACCT000359,CUST00250,Checking,Closed,2023-02-04
ACCT000360,CUST00204,Credit Card,Active,2025-03-27
ACCT000361,CUST00037,Savings,Closed,2023-10-22
ACCT000362,CUST00011,Checking,Active,2021-10-08
ACCT000363,CUST00183,Credit Card,Closed,2023-11-30
ACCT000364,CUST00117,Savings,Active,2022-11-03
ACCT000365,CUST00239,Credit Card,Active,2023-03-16
ACCT000366,CUST00158,Credit Card,Active,2023-11-05
ACCT000367,CUST00213,Loan,Active,2023-08-31
ACCT000368,CUST00209,Checking,Active,2022-11-10
ACCT000369,CUST00173,Checking,Closed,2024-04-10
ACCT000370,CUST00079,Checking,Closed,2022-06-28
ACCT000371,CUST00248,Savings,Active,2024-04-10
ACCT000372,CUST00123,Savings,Closed,2021-10-30
ACCT000373,CUST00211,Savings,Active,2024-03-18
ACCT000374,CUST00243,Checking,Active,2021-02-08
ACCT000375,CUST00113,Credit Card,Closed,2021-11-07
ACCT000376,CUST00106,Savings,Closed,2023-10-25
ACCT000377,CUST00199,Loan,Active,2024-12-16
ACCT000378,CUST00036,Savings,Active,2024-09-18
ACCT000379,CUST00123,Loan,Active,2021-12-21
ACCT000380,CUST00118,Credit Card,Active,2024-10-16
ACCT000381,CUST00198,Credit Card,Closed,2022-01-29
ACCT000382,CUST00246,Savings,Active,2024-02-17
ACCT000383,CUST00077,Savings,Active,2025-04-29
ACCT000384,CUST00074,Savings,Closed,2022-10-12
ACCT000385,CUST00123,Credit Card,Active,2022-08-13
ACCT000386,CUST00032,Loan,Closed,2025-08-04
ACCT000387,CUST00089,Savings,Active,2021-03-28
ACCT000388,CUST00074,Checking,Active,2023-06-25
ACCT000389,CUST00168,Credit Card,Closed,2022-03-15
ACCT000390,CUST00052,Credit Card,Active,2021-10-09
ACCT000391,CUST00028,Savings,Active,2021-04-14
ACCT000392,CUST00172,Savings,Active,2021-04-18
ACCT000393,CUST00026,Loan,Active,2025-01-09
ACCT000394,CUST00121,Checking,Active,2021-01-11
ACCT000395,CUST00247,Savings,Closed,2024-08-30
ACCT000396,CUST00240,Loan,Closed,2024-08-25
ACCT000397,CUST00052,Credit Card,Active,2022-08-08
ACCT000398,CUST00166,Checking,Active,2024-08-28
ACCT000399,CUST00147,Savings,Active,2021-12-25
ACCT000400,CUST00107,Savings,Active,2025-09-09
