transaction_id,account_id,transaction_date,transaction_type,amount,currency
TXN00000107,ACCT000155,2025-05-18,Payment,698.51,CAD
TXN00000108,ACCT000223,2025-05-22,Payment,321.02,CAD
TXN00000109,ACCT000040,2025-07-04,Fee,2423.74,USD
TXN00000110,ACCT000254,2025-11-01,Payment,3605.89,GBP
TXN00000111,ACCT000070,2025-06-05,Payment,2292.02,USD
TXN00000112,ACCT000318,2025-07-14,Interest,1664.42,USD
TXN00000113,ACCT000334,2025-11-01,Interest,1677.01,USD
TXN00000114,ACCT000356,2025-04-13,Fee,1606.72,CAD
TXN00000115,ACCT000204,2025-06-13,Fee,892.3,USD
TXN00000116,ACCT000125,2025-06-16,Interest,4838.98,CAD
TXN00000117,ACCT000202,2025-07-06,Fee,4083.39,USD
TXN00000118,ACCT000280,2025-04-03,Transfer,1003.0,GBP
TXN00000119,ACCT000237,2025-12-29,Purchase,4765.26,USD
TXN00000120,ACCT000355,2025-02-05,Interest,3989.44,CAD
TXN00000121,ACCT000156,2025-05-04,Interest,700.2,USD
TXN00000122,ACCT000194,2025-02-07,Payment,3577.61,CAD
TXN00000123,ACCT000206,2025-10-01,Transfer,2398.78,GBP
TXN00000124,ACCT000185,2025-12-26,Interest,2720.51,GBP
TXN00000125,ACCT000044,2025-02-25,Transfer,3192.71,USD
TXN00000126,ACCT000314,2025-01-23,Fee,835.86,GBP
TXN00000127,ACCT000170,2025-08-09,Interest,4834.22,USD
TXN00000128,ACCT000114,2025-09-19,Purchase,497.54,GBP
TXN00000129,ACCT000295,2025-04-24,Transfer,2904.69,CAD
TXN00000130,ACCT000396,2025-12-14,Fee,1958.72,GBP
TXN00000131,ACCT000013,2025-09-05,Transfer,757.97,USD
TXN00000132,ACCT000044,2025-03-01,Fee,2082.8,USD
TXN00000133,ACCT000234,2025-04-16,Fee,1562.89,GBP
TXN00000134,ACCT000050,2025-08-13,Interest,1744.76,CAD
TXN00000135,ACCT000023,2025-12-30,Fee,340.54,USD
TXN00000136,ACCT000332,2025-02-25,Purchase,4246.65,USD
TXN00000137,ACCT000283,2025-03-23,Payment,2582.39,USD
TXN00000138,ACCT000237,2025-04-29,Transfer,2134.72,CAD
TXN00000139,ACCT000337,2025-08-10,Payment,936.0,CAD
TXN00000140,ACCT000102,2025-08-19,Purchase,3688.25,GBP
TXN00000141,ACCT000361,2025-04-20,Interest,1947.23,USD
TXN00000142,ACCT000033,2025-10-23,Fee,3762.87,USD
TXN00000143,ACCT000167,2025-04-11,Transfer,938.86,CAD
TXN00000144,ACCT000251,2025-09-28,Purchase,1315.46,USD
TXN00000145,ACCT000201,2025-10-28,Transfer,1946.25,USD
TXN00000146,ACCT000235,2025-11-13,Fee,1763.16,USD
TXN00000147,ACCT000303,2025-02-13,Fee,4593.82,USD
TXN00000148,ACCT000157,2025-03-01,Fee,593.72,USD
TXN00000149,ACCT000262,2025-07-18,Fee,3468.72,CAD
TXN00000150,ACCT000197,2025-08-05,Transfer,693.65,USD
TXN00000151,ACCT000356,2025-11-27,Interest,3179.33,USD
TXN00000152,ACCT000148,2025-03-13,Transfer,838.49,USD
TXN00000153,ACCT000318,2025-01-28,Fee,4210.72,USD
TXN00000154,ACCT000100,2025-07-16,Purchase,2425.62,GBP
TXN00000155,ACCT000210,2025-12-17,Transfer,3267.08,CAD
TXN00000156,ACCT000228,2025-09-08,Interest,3552.16,USD
TXN00000157,ACCT000390,2025-04-23,Purchase,2829.16,USD
TXN00000158,ACCT000276,2025-05-28,Purchase,1377.89,USD
TXN00000159,ACCT000396,2025-09-11,Interest,2830.42,GBP
TXN00000160,ACCT000059,2025-05-18,Transfer,570.49,GBP
TXN00000161,ACCT000388,2025-01-22,Fee,2712.51,CAD
TXN00000162,ACCT000218,2025-02-22,Transfer,1096.62,USD
TXN00000163,ACCT000017,2025-08-19,Fee,4374.68,USD
TXN00000164,ACCT000045,2025-08-13,Fee,4311.69,USD
TXN00000165,ACCT000378,2025-10-29,Payment,1053.34,USD
TXN00000166,ACCT000085,2025-11-12,Transfer,3165.69,USD
TXN00000167,ACCT000031,2025-10-19,Payment,4068.58,USD
TXN00000168,ACCT000276,2025-03-28,Transfer,1409.02,USD
TXN00000169,ACCT000137,2025-09-21,Fee,1450.22,USD
TXN00000170,ACCT000211,2025-01-31,Payment,4814.05,USD
TXN00000171,ACCT000068,2025-05-08,Payment,3508.63,USD
TXN00000172,ACCT000390,2025-12-13,Fee,4143.27,CAD
TXN00000173,ACCT000324,2025-05-18,Interest,715.15,CAD
TXN00000174,ACCT000325,2025-02-17,Interest,2262.7,CAD
TXN00000175,ACCT000356,2025-07-08,Transfer,3750.26,CAD
TXN00000176,ACCT000002,2025-02-17,Interest,1639.81,CAD
TXN00000177,ACCT000274,2025-07-23,Fee,4251.28,USD
TXN00000178,ACCT000254,2025-05-18,Interest,4125.11,USD
TXN00000179,ACCT000296,2025-03-08,Fee,1692.09,GBP
TXN00000180,ACCT000350,2025-01-25,Interest,3942.58,USD
TXN00000181,ACCT000236,2025-01-09,Purchase,3132.77,USD
TXN00000182,ACCT000001,2025-08-08,Payment,2209.22,USD
TXN00000183,ACCT000155,2025-03-23,Payment,4411.33,USD
TXN00000184,ACCT000129,2025-02-12,Purchase,3274.67,USD
TXN00000185,ACCT000321,2025-06-06,Payment,263.68,USD
TXN00000186,ACCT000361,2025-02-18,Interest,3279.15,USD
TXN00000187,ACCT000068,2025-10-31,Payment,2386.65,USD
TXN00000188,ACCT000005,2025-01-05,Transfer,3401.51,USD
TXN00000189,ACCT000217,2025-12-22,Purchase,4940.83,USD
TXN00000190,ACCT000197,2025-02-15,Interest,358.79,USD
TXN00000191,ACCT000154,2025-03-12,Purchase,1570.19,CAD
TXN00000192,ACCT000347,2025-03-15,Payment,3209.67,USD
TXN00000193,ACCT000313,2025-11-29,Transfer,2818.64,USD
TXN00000194,ACCT000110,2025-11-18,Interest,1759.18,USD
TXN00000195,ACCT000227,2025-04-22,Interest,3082.3,USD
TXN00000196,ACCT000064,2025-10-29,Purchase,704.37,CAD
TXN00000197,ACCT000162,2025-03-13,Fee,4816.43,USD
TXN00000198,ACCT000128,2025-10-11,Fee,3224.88,GBP
TXN00000199,ACCT000146,2025-12-20,Transfer,3607.29,USD
TXN00000200,ACCT000311,2025-09-18,Fee,1031.2,USD
TXN00000201,ACCT000028,2025-05-03,Interest,1481.23,CAD
TXN00000202,ACCT000256,2025-11-23,Interest,568.15,GBP
TXN00000203,ACCT000007,2025-07-04,Purchase,2643.79,USD
TXN00000204,ACCT000292,2025-08-04,Payment,1937.26,USD
TXN00000205,ACCT000391,2025-08-30,Transfer,3416.3,USD
TXN00000206,ACCT000008,2025-05-15,Purchase,2938.88,USD
TXN00000207,ACCT000204,2025-09-17,Purchase,4613.28,USD
TXN00000208,ACCT000217,2025-12-26,Transfer,3836.71,CAD
TXN00000209,ACCT000276,2025-11-12,Purchase,3204.48,USD
TXN00000210,ACCT000041,2025-09-19,Fee,422.57,USD
TXN00000211,ACCT000201,2025-10-28,Payment,2684.27,USD
TXN00000212,ACCT000374,2025-05-03,Fee,3494.89,USD
TXN00000213,ACCT000223,2025-03-01,Payment,435.63,CAD
TXN00000214,ACCT000159,2025-12-08,Transfer,3046.12,USD
TXN00000215,ACCT000071,2025-12-26,Purchase,68.26,USD
TXN00000216,ACCT000178,2025-09-25,Payment,2484.58,GBP
TXN00000217,ACCT000065,2025-05-18,Fee,838.98,USD
TXN00000218,ACCT000220,2025-05-20,Purchase,1678.38,GBP
TXN00000219,ACCT000296,2025-11-18,Purchase,1318.43,USD
TXN00000220,ACCT000185,2025-01-29,Interest,2278.71,CAD
TXN00000221,ACCT000081,2025-05-11,Transfer,838.57,USD
TXN00000222,ACCT000060,2025-04-27,Transfer,3372.23,GBP
TXN00000223,ACCT000007,2025-05-06,Purchase,224.97,USD
TXN00000224,ACCT000077,2025-04-02,Interest,1823.06,USD
TXN00000225,ACCT000366,2025-12-02,Transfer,4016.56,CAD
TXN00000226,ACCT000214,2025-06-13,Payment,1612.4,USD
TXN00000227,ACCT000062,2025-09-15,Purchase,2859.82,USD
TXN00000228,ACCT000265,2025-01-24,Payment,1119.81,CAD
TXN00000229,ACCT000145,2025-06-09,Purchase,4385.57,USD
TXN00000230,ACCT000005,2025-07-08,Purchase,2767.69,USD
TXN00000231,ACCT000156,2025-11-15,Fee,2821.21,USD
TXN00000232,ACCT000253,2025-04-11,Interest,1844.53,GBP
TXN00000233,ACCT000210,2025-01-13,Payment,757.08,USD
TXN00000234,ACCT000356,2025-01-05,Transfer,1735.39,USD
TXN00000235,ACCT000193,2025-06-07,Purchase,3795.85,USD
TXN00000236,ACCT000122,2025-08-03,Payment,2651.42,CAD
TXN00000237,ACCT000073,2025-12-31,Purchase,4862.93,USD
TXN00000238,ACCT000119,2025-09-24,Purchase,224.28,CAD
TXN00000239,ACCT000383,2025-02-13,Fee,2295.0,GBP
TXN00000240,ACCT000327,2025-07-21,Purchase,2529.61,USD
TXN00000241,ACCT000223,2025-12-06,Transfer,2841.26,USD
TXN00000242,ACCT000162,2025-07-21,Payment,1461.92,USD
TXN00000243,ACCT000120,2025-02-08,Fee,2266.53,USD
TXN00000244,ACCT000300,2025-02-25,Payment,3900.79,USD
TXN00000245,ACCT000239,2025-06-10,Purchase,826.05,CAD
TXN00000246,ACCT000395,2025-04-17,Purchase,2681.94,CAD
TXN00000247,ACCT000062,2025-02-16,Fee,2319.42,USD
TXN00000248,ACCT000357,2025-11-05,Fee,4132.8,USD
TXN00000249,ACCT000168,2025-03-17,Payment,4180.44,USD
TXN00000250,ACCT000203,2025-09-20,Payment,4842.16,USD
TXN00000251,ACCT000090,2025-01-16,Fee,1304.53,CAD
TXN00000252,ACCT000282,2025-05-08,Interest,2781.99,USD
TXN00000253,ACCT000072,2025-03-04,Interest,514.03,USD
TXN00000254,ACCT000114,2025-03-08,Purchase,4152.71,USD
TXN00000255,ACCT000323,2025-11-27,Interest,1864.34,USD
TXN00000256,ACCT000039,2025-01-12,Transfer,2932.66,USD
TXN00000257,ACCT000228,2025-03-07,Payment,4512.97,USD
TXN00000258,ACCT000237,2025-01-26,Fee,617.03,USD
TXN00000259,ACCT000371,2025-07-22,Transfer,2168.62,CAD
TXN00000260,ACCT000219,2025-03-30,Purchase,1916.73,USD
TXN00000261,ACCT000141,2025-05-24,Payment,4541.98,CAD
TXN00000262,ACCT000318,2025-11-12,Payment,178.07,USD
TXN00000263,ACCT000282,2025-09-03,Fee,2496.96,USD
TXN00000264,ACCT000071,2025-08-03,Purchase,1402.48,USD
TXN00000265,ACCT000279,2025-01-10,Transfer,1249.49,CAD
TXN00000266,ACCT000249,2025-06-26,Fee,2401.02,GBP
TXN00000267,ACCT000139,2025-04-03,Transfer,1611.41,USD
TXN00000268,ACCT000016,2025-05-24,Fee,2987.6,USD
TXN00000269,ACCT000393,2025-10-27,Interest,2649.51,USD
TXN00000270,ACCT000337,2025-05-04,Payment,505.17,USD
TXN00000271,ACCT000378,2025-01-29,Transfer,4082.34,USD
TXN00000272,ACCT000199,2025-07-01,Transfer,4233.29,USD
TXN00000273,ACCT000163,2025-12-24,Payment,1186.57,USD
TXN00000274,ACCT000359,2025-06-30,Transfer,145.89,GBP
TXN00000275,ACCT000097,2025-09-10,Transfer,714.8,GBP
TXN00000276,ACCT000020,2025-02-16,Fee,881.91,USD
TXN00000277,ACCT000011,2025-09-27,Payment,3010.31,CAD
TXN00000278,ACCT000315,2025-04-14,Purchase,1662.01,USD
TXN00000279,ACCT000166,2025-01-31,Fee,3586.1,USD
TXN00000280,ACCT000073,2025-02-26,Payment,2935.11,GBP
TXN00000281,ACCT000192,2025-12-27,Fee,4802.99,CAD
TXN00000282,ACCT000155,2025-06-15,Transfer,509.66,USD
TXN00000283,ACCT000224,2025-11-24,Payment,3663.1,CAD
TXN00000284,ACCT000288,2025-12-22,Fee,875.14,GBP
TXN00000285,ACCT000302,2025-03-31,Fee,1120.07,CAD
TXN00000286,ACCT000151,2025-03-07,Fee,3671.3,USD
TXN00000287,ACCT000294,2025-07-20,Purchase,4744.2,GBP
TXN00000288,ACCT000163,2025-11-10,Purchase,914.5,USD
TXN00000289,ACCT000255,2025-03-14,Transfer,525.03,USD
TXN00000290,ACCT000164,2025-03-27,Purchase,1193.79,USD
TXN00000291,ACCT000136,2025-04-18,Fee,2235.92,USD
TXN00000292,ACCT000056,2025-01-01,Purchase,1755.65,USD
TXN00000293,ACCT000215,2025-03-27,Interest,2193.91,CAD
TXN00000294,ACCT000180,2025-10-07,Interest,4409.44,CAD
TXN00000295,ACCT000296,2025-11-30,Purchase,4144.89,USD
TXN00000296,ACCT000018,2025-05-31,Payment,2259.18,USD
TXN00000297,ACCT000054,2025-02-07,Fee,1309.33,USD
TXN00000298,ACCT000083,2025-02-08,Payment,4440.22,GBP
TXN00000299,ACCT000315,2025-09-05,Purchase,1693.06,USD
TXN00000300,ACCT000085,2025-11-07,Interest,4712.5,CAD
TXN00000301,ACCT000170,2025-04-16,Payment,272.51,USD
TXN00000302,ACCT000370,2025-10-04,Interest,3487.5,USD
TXN00000303,ACCT000050,2025-01-26,Fee,1490.52,CAD
TXN00000304,ACCT000252,2025-03-20,Transfer,2750.56,USD
TXN00000305,ACCT000045,2025-05-31,Fee,24.06,GBP
TXN00000306,ACCT000014,2025-04-16,Interest,1002.38,USD
TXN00000307,ACCT000243,2025-03-01,Fee,4885.4,USD
TXN00000308,ACCT000339,2025-05-16,Interest,2357.37,USD
TXN00000309,ACCT000190,2025-07-15,Transfer,1940.7,USD
TXN00000310,ACCT000135,2025-08-14,Payment,2231.65,CAD
TXN00000311,ACCT000138,2025-10-16,Fee,1135.08,USD
TXN00000312,ACCT000342,2025-02-19,Payment,3762.41,USD
TXN00000313,ACCT000212,2025-10-29,Fee,4041.86,USD
TXN00000314,ACCT000199,2025-09-25,Transfer,309.61,CAD
TXN00000315,ACCT000244,2025-10-21,Transfer,3436.9,USD
TXN00000316,ACCT000203,2025-01-18,Interest,1497.77,GBP
TXN00000317,ACCT000293,2025-12-13,Transfer,4502.77,GBP
TXN00000318,ACCT000388,2025-08-18,Payment,605.81,USD
TXN00000319,ACCT000099,2025-03-06,Payment,4860.96,USD
TXN00000320,ACCT000350,2025-08-11,Interest,396.45,USD
TXN00000321,ACCT000133,2025-06-13,Payment,4171.37,USD
TXN00000322,ACCT000204,2025-10-10,Purchase,1943.56,USD
TXN00000323,ACCT000007,2025-12-25,Fee,2600.84,GBP
TXN00000324,ACCT000215,2025-02-27,Transfer,2615.2,CAD
TXN00000325,ACCT000302,2025-10-26,Payment,745.26,USD
TXN00000326,ACCT000052,2025-05-27,Purchase,2815.61,GBP
TXN00000327,ACCT000136,2025-07-16,Fee,4390.08,CAD
TXN00000328,ACCT000020,2025-03-30,Transfer,3046.77,USD
TXN00000329,ACCT000312,2025-12-15,Interest,723.54,CAD
TXN00000330,ACCT000170,2025-12-20,Purchase,1981.98,USD
TXN00000331,ACCT000138,2025-07-10,Purchase,3730.02,USD
TXN00000332,ACCT000156,2025-06-09,Fee,4087.84,USD
TXN00000333,ACCT000351,2025-02-20,Interest,4291.88,USD
TXN00000334,ACCT000381,2025-08-15,Payment,1505.9,USD
TXN00000335,ACCT000310,2025-11-27,Fee,3645.35,USD
TXN00000336,ACCT000209,2025-09-06,Payment,2211.37,GBP
TXN00000337,ACCT000264,2025-03-23,Fee,4105.98,USD
TXN00000338,ACCT000207,2025-03-11,Fee,3549.3,GBP
TXN00000339,ACCT000099,2025-04-13,Transfer,149.6,USD
TXN00000340,ACCT000026,2025-07-04,Payment,170.19,USD
TXN00000341,ACCT000238,2025-09-16,Fee,1844.92,CAD
TXN00000342,ACCT000124,2025-07-10,Purchase,3407.47,CAD
TXN00000343,ACCT000243,2025-10-28,Transfer,2233.29,GBP
TXN00000344,ACCT000133,2025-12-19,Fee,1724.52,USD
TXN00000345,ACCT000026,2025-03-25,Fee,142.12,GBP
TXN00000346,ACCT000332,2025-04-26,Payment,4286.27,USD
TXN00000347,ACCT000263,2025-01-11,Fee,3259.68,USD
TXN00000348,ACCT000332,2025-03-30,Interest,4558.02,GBP
TXN00000349,ACCT000312,2025-06-06,Purchase,1122.73,USD
TXN00000350,ACCT000179,2025-08-24,Interest,4477.94,USD
TXN00000351,ACCT000347,2025-09-24,Payment,2336.16,GBP
TXN00000352,ACCT000004,2025-09-19,Interest,2924.51,USD
TXN00000353,ACCT000312,2025-05-25,Transfer,3238.47,USD
TXN00000354,ACCT000173,2025-05-22,Purchase,2411.28,USD
TXN00000355,ACCT000365,2025-11-30,Fee,1309.43,USD
TXN00000356,ACCT000392,2025-05-04,Payment,753.9,USD
TXN00000357,ACCT000164,2025-12-15,Transfer,2023.47,USD
TXN00000358,ACCT000152,2025-05-13,Purchase,3278.73,CAD
TXN00000359,ACCT000019,2025-10-26,Interest,1944.43,GBP
TXN00000360,ACCT000366,2025-04-24,Payment,1719.12,GBP
TXN00000361,ACCT000344,2025-07-03,Interest,4533.1,GBP
TXN00000362,ACCT000337,2025-10-13,Fee,4227.87,USD
TXN00000363,ACCT000066,2025-05-13,Fee,492.53,GBP
TXN00000364,ACCT000172,2025-12-02,Payment,4734.88,USD
TXN00000365,ACCT000382,2025-06-07,Payment,1779.64,CAD
TXN00000366,ACCT000300,2025-05-31,Fee,1861.55,CAD
TXN00000367,ACCT000325,2025-10-26,Purchase,2355.33,GBP
TXN00000368,ACCT000100,2025-09-14,Transfer,360.72,USD
TXN00000369,ACCT000212,2025-01-28,Interest,2651.54,USD
TXN00000370,ACCT000176,2025-07-29,Payment,4961.78,GBP
TXN00000371,ACCT000367,2025-04-03,Interest,720.4,USD
TXN00000372,ACCT000091,2025-06-10,Interest,1666.48,USD
TXN00000373,ACCT000108,2025-03-28,Purchase,2263.01,GBP
TXN00000374,ACCT000391,2025-02-15,Payment,2450.44,USD
TXN00000375,ACCT000220,2025-07-26,Transfer,2171.39,CAD
TXN00000376,ACCT000020,2025-10-01,Interest,1919.67,USD
TXN00000377,ACCT000165,2025-09-29,Fee,4750.59,USD
TXN00000378,ACCT000321,2025-05-08,Purchase,3385.36,USD
TXN00000379,ACCT000053,2025-07-16,Fee,1563.9,GBP
TXN00000380,ACCT000034,2025-01-24,Transfer,1534.04,USD
TXN00000381,ACCT000267,2025-11-02,Fee,2282.35,GBP
TXN00000382,ACCT000352,2025-03-10,Fee,2171.16,USD
TXN00000383,ACCT000097,2025-03-26,Interest,1799.46,CAD
TXN00000384,ACCT000373,2025-03-09,Purchase,1145.95,USD
TXN00000385,ACCT000087,2025-03-05,Purchase,2950.52,USD
TXN00000386,ACCT000328,2025-05-11,Purchase,1879.09,GBP
TXN00000387,ACCT000025,2025-12-05,Transfer,247.69,USD
TXN00000388,ACCT000060,2025-08-02,Purchase,245.93,CAD
TXN00000389,ACCT000130,2025-08-31,Interest,622.36,USD
TXN00000390,ACCT000323,2025-01-05,Payment,3477.48,USD
TXN00000391,ACCT000340,2025-09-24,Interest,3310.01,USD
TXN00000392,ACCT000071,2025-08-03,Transfer,3030.14,USD
TXN00000393,ACCT000061,2025-05-25,Transfer,3595.24,USD
TXN00000394,ACCT000312,2025-04-13,Purchase,2491.21,USD
TXN00000395,ACCT000184,2025-12-27,Transfer,4865.73,CAD
TXN00000396,ACCT000281,2025-09-12,Fee,806.07,USD
TXN00000397,ACCT000002,2025-01-07,Interest,1656.37,USD
TXN00000398,ACCT000343,2025-09-10,Purchase,4176.98,USD
TXN00000399,ACCT000039,2025-02-21,Purchase,3898.73,USD
TXN00000400,ACCT000152,2025-05-16,Payment,2286.47,CAD
TXN00000401,ACCT000090,2025-01-21,Purchase,503.55,USD
TXN00000402,ACCT000161,2025-08-07,Fee,4008.97,USD
TXN00000403,ACCT000024,2025-01-05,Purchase,4256.97,USD
TXN00000404,ACCT000225,2025-11-15,Payment,1646.66,USD
TXN00000405,ACCT000176,2025-04-04,Purchase,1866.25,USD
TXN00000406,ACCT000234,2025-05-20,Interest,2004.25,CAD
TXN00000407,ACCT000333,2025-03-27,Interest,4000.5,USD
TXN00000408,ACCT000031,2025-03-23,Payment,3482.37,USD
TXN00000409,ACCT000248,2025-10-19,Interest,4556.58,CAD
TXN00000410,ACCT000399,2025-07-03,Payment,3058.56,GBP
TXN00000411,ACCT000373,2025-03-08,Purchase,4313.57,CAD
TXN00000412,ACCT000211,2025-08-14,Interest,569.12,USD
TXN00000413,ACCT000161,2025-01-07,Purchase,1311.76,GBP
TXN00000414,ACCT000115,2025-12-09,Transfer,3620.25,USD
TXN00000415,ACCT000359,2025-11-13,Transfer,2617.9,USD
